<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MOEX.SBER:SMAL,1,20230112,151700,151.3800000,151.3800000,151.3800000,151.3800000,2
MOEX.SBER:SMAL,1,20230112,153800,151.3800000,151.3800000,151.3800000,151.3800000,7
MOEX.SBER:SMAL,1,20230112,155900,151.3800000,151.3800000,151.3800000,151.3800000,1
MOEX.SBER:SMAL,1,20230112,174700,148.2200000,148.2200000,148.0100000,148.0100000,99
MOEX.SBER:SMAL,1,20230112,174800,148.0000000,148.0000000,148.0000000,148.0000000,48
MOEX.SBER:SMAL,1,20230112,174900,148.0000000,148.0000000,148.0000000,148.0000000,32
MOEX.SBER:SMAL,1,20230112,175000,148.0000000,148.0000000,148.0000000,148.0000000,1
MOEX.SBER:SMAL,1,20230112,175200,148.0000000,148.0000000,148.0000000,148.0000000,7
MOEX.SBER:SMAL,1,20230113,103900,146.0200000,146.0200000,146.0200000,146.0200000,4
MOEX.SBER:SMAL,1,20230113,112200,151.1700000,151.1700000,151.1700000,151.1700000,1
MOEX.SBER:SMAL,1,20230113,122300,146.8600000,146.8600000,146.8600000,146.8600000,1
MOEX.SBER:SMAL,1,20230113,124300,148.9900000,148.9900000,148.9900000,148.9900000,1
MOEX.SBER:SMAL,1,20230113,133200,146.8900000,146.8900000,146.8900000,146.8900000,2
MOEX.SBER:SMAL,1,20230113,134100,146.9000000,146.9000000,146.9000000,146.9000000,1
MOEX.SBER:SMAL,1,20230113,134400,150.9700000,151.1900000,150.9700000,151.1900000,20
MOEX.SBER:SMAL,1,20230113,134500,151.2100000,151.2500000,151.2100000,151.2500000,10
MOEX.SBER:SMAL,1,20230113,142500,150.0800000,150.0800000,150.0800000,150.0800000,1
MOEX.SBER:SMAL,1,20230113,142600,148.2600000,148.2600000,148.2600000,148.2600000,7
MOEX.SBER:SMAL,1,20230113,144800,151.9800000,151.9800000,151.9800000,151.9800000,1
MOEX.SBER:SMAL,1,20230113,153000,150.0800000,150.0800000,148.3400000,148.3400000,6
MOEX.SBER:SMAL,1,20230113,154100,149.0600000,149.0600000,149.0600000,149.0600000,8
MOEX.SBER:SMAL,1,20230113,154900,151.6000000,151.6000000,151.6000000,151.6000000,1
MOEX.SBER:SMAL,1,20230113,161100,151.9800000,151.9800000,151.9800000,151.9800000,1
MOEX.SBER:SMAL,1,20230113,172300,153.1000000,153.7000000,153.1000000,153.7000000,9
MOEX.SBER:SMAL,1,20230113,174400,153.6600000,153.6600000,153.6600000,153.6600000,6
MOEX.SBER:SMAL,1,20230113,182000,151.1200000,151.1200000,150.3600000,150.3600000,174
MOEX.SBER:SMAL,1,20230113,192200,151.6700000,151.6800000,151.6700000,151.6800000,3
MOEX.SBER:SMAL,1,20230113,210300,150.1500000,150.1500000,150.0800000,150.0800000,8
MOEX.SBER:SMAL,1,20230113,234400,152.3200000,152.3200000,152.3200000,152.3200000,5
MOEX.SBER:SMAL,1,20230116,102900,150.2500000,150.2500000,150.2500000,150.2500000,8
MOEX.SBER:SMAL,1,20230116,111100,153.5600000,153.5600000,153.5600000,153.5600000,1
MOEX.SBER:SMAL,1,20230116,131100,150.7000000,150.7000000,150.7000000,150.7000000,9
MOEX.SBER:SMAL,1,20230116,140200,150.7000000,150.7000000,150.7000000,150.7000000,1
MOEX.SBER:SMAL,1,20230116,143800,150.2500000,150.2500000,150.2500000,150.2500000,9
MOEX.SBER:SMAL,1,20230116,145200,152.7800000,152.7800000,152.7800000,152.7800000,1
MOEX.SBER:SMAL,1,20230116,153700,154.7800000,154.7800000,154.7800000,154.7800000,1
MOEX.SBER:SMAL,1,20230116,161700,154.7800000,154.7800000,154.7800000,154.7800000,2
MOEX.SBER:SMAL,1,20230116,161800,154.7800000,155.9800000,154.7800000,155.9800000,11
MOEX.SBER:SMAL,1,20230116,164400,151.5900000,151.5900000,151.5900000,151.5900000,3
MOEX.SBER:SMAL,1,20230116,173000,152.1200000,152.1200000,152.0000000,152.0000000,111
MOEX.SBER:SMAL,1,20230116,173300,152.0000000,152.0000000,152.0000000,152.0000000,51
MOEX.SBER:SMAL,1,20230116,173400,152.0000000,152.0000000,152.0000000,152.0000000,14
MOEX.SBER:SMAL,1,20230116,174100,154.2900000,154.9800000,154.2900000,154.9800000,4
MOEX.SBER:SMAL,1,20230116,180200,153.2900000,153.2900000,153.2900000,153.2900000,2
MOEX.SBER:SMAL,1,20230116,181900,153.0000000,153.0000000,153.0000000,153.0000000,1
MOEX.SBER:SMAL,1,20230116,210700,151.8100000,151.8100000,151.8100000,151.8100000,4
MOEX.SBER:SMAL,1,20230117,100800,155.0000000,155.9800000,155.0000000,155.9800000,2
MOEX.SBER:SMAL,1,20230117,100900,157.6300000,157.6300000,157.6300000,157.6300000,3
MOEX.SBER:SMAL,1,20230117,101600,153.0000000,153.0000000,151.7800000,151.7800000,5
MOEX.SBER:SMAL,1,20230117,103600,151.5300000,151.5300000,151.5300000,151.5300000,6
MOEX.SBER:SMAL,1,20230117,103800,151.5300000,151.5300000,151.5300000,151.5300000,1
MOEX.SBER:SMAL,1,20230117,104700,151.5000000,151.5000000,151.5000000,151.5000000,1
MOEX.SBER:SMAL,1,20230117,113800,151.0100000,151.0100000,150.0000000,150.0000000,5
MOEX.SBER:SMAL,1,20230117,115800,150.0000000,150.0000000,150.0000000,150.0000000,1
MOEX.SBER:SMAL,1,20230117,123700,150.0000000,150.0000000,150.0000000,150.0000000,6
MOEX.SBER:SMAL,1,20230117,141300,152.2700000,152.2700000,152.2700000,152.2700000,9
MOEX.SBER:SMAL,1,20230117,143300,152.9200000,152.9200000,152.9200000,152.9200000,1
MOEX.SBER:SMAL,1,20230117,160200,150.5000000,150.5000000,150.5000000,150.5000000,1
MOEX.SBER:SMAL,1,20230117,161800,151.0000000,151.5000000,151.0000000,151.5000000,2
MOEX.SBER:SMAL,1,20230117,163800,151.0000000,151.0000000,150.0500000,150.0500000,6
MOEX.SBER:SMAL,1,20230117,172900,150.1500000,150.1500000,150.0000000,150.0000000,188
MOEX.SBER:SMAL,1,20230117,174100,151.0000000,151.0000000,151.0000000,151.0000000,1
MOEX.SBER:SMAL,1,20230117,213700,152.1300000,152.1300000,152.1300000,152.1300000,1
MOEX.SBER:SMAL,1,20230118,105100,148.3400000,148.3400000,148.3400000,148.3400000,6
MOEX.SBER:SMAL,1,20230118,113400,148.4500000,148.4500000,148.4500000,148.4500000,2
MOEX.SBER:SMAL,1,20230118,121700,151.0000000,151.0000000,151.0000000,151.0000000,2
MOEX.SBER:SMAL,1,20230118,122000,151.0000000,151.0000000,151.0000000,151.0000000,1
MOEX.SBER:SMAL,1,20230118,123100,151.9800000,151.9800000,151.9800000,151.9800000,5
MOEX.SBER:SMAL,1,20230118,182500,152.0000000,152.0000000,151.1200000,151.1200000,104
MOEX.SBER:SMAL,1,20230118,214600,152.2500000,152.2500000,152.2500000,152.2500000,1
MOEX.SBER:SMAL,1,20230119,102000,150.2800000,150.2800000,150.2800000,150.2800000,4
MOEX.SBER:SMAL,1,20230119,114400,150.2800000,150.2800000,150.2800000,150.2800000,2
MOEX.SBER:SMAL,1,20230119,120300,150.2800000,150.2800000,150.2800000,150.2800000,10
MOEX.SBER:SMAL,1,20230119,120900,150.2800000,150.2800000,149.5400000,149.5400000,20
MOEX.SBER:SMAL,1,20230119,165200,149.0000000,149.0000000,149.0000000,149.0000000,3
MOEX.SBER:SMAL,1,20230119,182700,149.0100000,149.0100000,148.5500000,148.5500000,80
MOEX.SBER:SMAL,1,20230119,201500,152.0000000,152.0000000,152.0000000,152.0000000,1
MOEX.SBER:SMAL,1,20230120,143500,151.1300000,151.1500000,151.1300000,151.1500000,4
MOEX.SBER:SMAL,1,20230120,144500,147.8100000,147.8100000,147.8100000,147.8100000,3
MOEX.SBER:SMAL,1,20230120,165700,152.0000000,152.0000000,152.0000000,152.0000000,1
MOEX.SBER:SMAL,1,20230120,180300,151.9900000,151.9900000,151.9900000,151.9900000,1
MOEX.SBER:SMAL,1,20230120,180400,151.9900000,151.9900000,151.9900000,151.9900000,1
MOEX.SBER:SMAL,1,20230120,181600,149.2600000,149.2600000,149.0900000,149.0900000,86
MOEX.SBER:SMAL,1,20230120,184000,150.3500000,150.3500000,150.3500000,150.3500000,3
MOEX.SBER:SMAL,1,20230120,224900,151.6000000,151.6000000,151.6000000,151.6000000,5
MOEX.SBER:SMAL,1,20230123,110800,150.2500000,150.2500000,150.2500000,150.2500000,4
MOEX.SBER:SMAL,1,20230123,111900,150.2500000,150.2500000,150.2300000,150.2300000,7
MOEX.SBER:SMAL,1,20230123,114400,152.9800000,152.9800000,152.9800000,152.9800000,1
MOEX.SBER:SMAL,1,20230123,115500,150.3000000,150.3000000,150.2500000,150.2500000,6
MOEX.SBER:SMAL,1,20230123,124200,153.7100000,153.7100000,153.7100000,153.7100000,1
MOEX.SBER:SMAL,1,20230123,134600,150.5200000,150.5200000,150.5200000,150.5200000,3
MOEX.SBER:SMAL,1,20230123,140500,150.5200000,150.5200000,150.5200000,150.5200000,1
MOEX.SBER:SMAL,1,20230123,145100,152.0000000,152.0000000,152.0000000,152.0000000,1
MOEX.SBER:SMAL,1,20230123,150500,150.6500000,150.6500000,150.6400000,150.6400000,2
MOEX.SBER:SMAL,1,20230123,150600,151.5000000,153.0000000,151.5000000,153.0000000,4
MOEX.SBER:SMAL,1,20230123,160000,153.9800000,153.9800000,153.9800000,153.9800000,1
MOEX.SBER:SMAL,1,20230123,160200,154.8500000,154.8500000,154.8500000,154.8500000,3
MOEX.SBER:SMAL,1,20230123,181500,152.5200000,152.5200000,152.5200000,152.5200000,7
MOEX.SBER:SMAL,1,20230123,181700,152.5200000,152.5200000,152.3000000,152.3000000,8
MOEX.SBER:SMAL,1,20230123,181800,152.3000000,152.3000000,152.0000000,152.0000000,151
MOEX.SBER:SMAL,1,20230123,181900,152.0000000,152.0000000,152.0000000,152.0000000,34
MOEX.SBER:SMAL,1,20230123,183500,152.5000000,153.0000000,152.5000000,153.0000000,2
MOEX.SBER:SMAL,1,20230123,194600,153.7000000,154.7100000,153.7000000,154.7100000,3
MOEX.SBER:SMAL,1,20230123,203000,153.0000000,153.0000000,153.0000000,153.0000000,7
MOEX.SBER:SMAL,1,20230124,104300,155.0000000,155.0000000,155.0000000,155.0000000,1
MOEX.SBER:SMAL,1,20230124,122500,153.3000000,153.3000000,153.3000000,153.3000000,1
MOEX.SBER:SMAL,1,20230124,135100,153.1800000,153.1800000,153.1800000,153.1800000,9
MOEX.SBER:SMAL,1,20230124,135200,153.1700000,153.1700000,153.1700000,153.1700000,7
MOEX.SBER:SMAL,1,20230124,135800,151.5200000,151.5200000,151.5200000,151.5200000,8
MOEX.SBER:SMAL,1,20230124,175300,152.2500000,152.2500000,152.2200000,152.2200000,9
MOEX.SBER:SMAL,1,20230124,180500,152.2200000,152.2200000,152.0900000,152.0900000,94
MOEX.SBER:SMAL,1,20230124,181000,154.0000000,154.0000000,154.0000000,154.0000000,1
MOEX.SBER:SMAL,1,20230124,202100,153.0000000,153.0000000,153.0000000,153.0000000,1
MOEX.SBER:SMAL,1,20230124,230500,153.7400000,153.7400000,153.7400000,153.7400000,1
MOEX.SBER:SMAL,1,20230125,122900,150.7800000,150.7800000,150.7800000,150.7800000,1
MOEX.SBER:SMAL,1,20230125,155500,150.8200000,150.8200000,150.8200000,150.8200000,8
MOEX.SBER:SMAL,1,20230125,172600,152.4800000,154.4700000,152.4800000,154.4700000,9
MOEX.SBER:SMAL,1,20230125,181700,154.4700000,154.4700000,154.4700000,154.4700000,1
MOEX.SBER:SMAL,1,20230125,182300,151.0500000,151.0500000,151.0200000,151.0200000,48
